Noelem=  2
Element   basis    Numel   Es          Ep        Ed          Ef    Mass     HubbardU  Wss        Wpp      Wdd        Wff
U  sdf   6.000000 -4.39 0.0 -2.51 -3.51  238.03 7.66 0.000000 0.000000 0.000000  0.000000
O sp  6.000000 -23.7 -9.20   0.0 0.0  15.999 12.15 0.000000 0.000000 0.000000 0.000000

U sdf 6.000000 -2.336721 0.000000 -1.539343 -4.649733 238.030000 6.236960 0.000000 0.000000 0.000000 -0.300000 
O sp 6.000000 -23.014515 -10.919414 0.000000 0.000000 15.999000 12.2 0.000000 -0.100000 0.000000 0.000000 
