  #Symbol     mass(amu)     IP(eV)     EA(eV)
 H    1.0078250169754028        13.598400115966797       0.75420373678207397     
 He   4.0026030540466309        24.587400436401367        0.0000000000000000     
 Li   7.0160045623779297        5.3916997909545898       0.61804902553558350     
 Be   9.0121822357177734        9.3226995468139648        0.0000000000000000     
 B    11.009305000305176        8.2980003356933594       0.27972298860549927     
 C    12.000000000000000        11.260299682617188        1.2621179819107056     
 N    14.003073692321777        14.534099578857422       -7.0000000298023224E-002
 O    15.994915008544922        13.618100166320801        1.4611120223999023     
 F    18.998403549194336        17.422800064086914        3.4011886119842529     
 Ne   19.992439270019531        21.564500808715820        0.0000000000000000     
 Na   22.989768981933594        5.1391000747680664       0.54792600870132446     
 Mg   23.985042572021484        7.6462001800537109        0.0000000000000000     
 Al   26.981538772583008        5.9857997894287109       0.43283000588417053     
 Si   27.976926803588867        8.1517000198364258        1.3895210027694702     
 P    30.973762512207031        10.486700057983398       0.74650001525878906     
 S    31.972070693969727        10.359999656677246        2.0771028995513916     
 Cl   34.968852996826172        12.967599868774414        3.6127240657806396     
 Ar   39.962383270263672        15.759599685668945        0.0000000000000000     
 K    38.963706970214844        4.3407001495361328       0.50145900249481201     
 Ca   39.962589263916016        6.1132001876831055        2.4550000205636024E-002
 Sc   44.955913543701172        6.5615000724792480       0.18799999356269836     
 Ti   47.947944641113281        6.8281002044677734        8.3999998867511749E-002
 V    50.943958282470703        6.7462000846862793       0.52499997615814209     
 Cr   51.940505981445312        6.7664999961853027       0.67584002017974854     
 Mn   54.938045501708984        7.4340000152587891        0.0000000000000000     
 Fe   55.934936523437500        7.9024000167846680       0.15099999308586121     
 Co   58.933193206787109        7.8810000419616699       0.66329997777938843     
 Ni   57.935344696044922        7.6398000717163086        1.1571600437164307     
 Cu   62.929595947265625        7.7263998985290527        1.2357800006866455     
 Zn   63.929141998291016        9.3942003250122070        0.0000000000000000     
 Ga   68.925575256347656        5.9993000030517578       0.40999999642372131     
 Ge   73.921180725097656        7.8994002342224121        1.2327120304107666     
 As   74.921592712402344        9.7885999679565430       0.81400001049041748     
 Se   79.916519165039062        9.7524003982543945        2.0206699371337891     
 Br   78.918334960937500        11.813799858093262        3.3635880947113037     
 Kr   83.911506652832031        13.999600410461426        0.0000000000000000     
 Rb   84.911788940429688        4.1771001815795898       0.48591598868370056     
 Sr   87.905609130859375        5.6949000358581543        5.2060000598430634E-002
 Y    88.905845642089844        6.2172999382019043       0.30700001120567322     
 Zr   89.904701232910156        6.6339001655578613       0.42599999904632568     
 Nb   92.906379699707031        6.7589001655578613       0.89300000667572021     
 Mo   97.905410766601562        7.0924000740051270       0.74720001220703125     
 Tc   97.907218933105469        7.2800002098083496       0.55000001192092896     
 Ru   101.90435028076172        7.3604998588562012        1.0463800430297852     
 Rh   102.90550231933594        7.4588999748229980        1.1428899765014648     
 Pd   105.90348815917969        8.3368997573852539       0.56213998794555664     
 Ag   106.90509796142578        7.5762000083923340        1.3044699430465698     
 Cd   113.90335845947266        8.9938001632690430        0.0000000000000000     
 In   114.90387725830078        5.7863998413085938       0.40400001406669617     
 Sn   119.90219116210938        7.3439002037048340        1.1120660305023193     
 Sb   120.90381622314453        8.6084003448486328        1.0474009513854980     
 Te   129.90621948242188        9.0095996856689453        1.9708750247955322     
 I    126.90447235107422        10.451299667358398        3.0590379238128662     
 Xe   131.90415954589844        12.129799842834473        0.0000000000000000     
 Cs   132.90545654296875        3.8938999176025391       0.47162601351737976     
 Ba   137.90524291992188        5.2116999626159668       0.14462000131607056     
 La   138.90635681152344        5.5769000053405762       0.46999999880790710     
 Ce   139.90544128417969        5.5387001037597656       0.50000000000000000     
 Pr   140.90765380859375        5.4730000495910645       0.50000000000000000     
 Nd   141.90773010253906        5.5250000953674316       0.50000000000000000     
 Pm   144.91275024414062        5.5819997787475586       0.50000000000000000     
 Sm   151.91973876953125        5.6437001228332520       0.50000000000000000     
 Eu   152.92123413085938        5.6704001426696777       0.50000000000000000     
 Gd   157.92410278320312        6.1497998237609863       0.50000000000000000     
 Tb   158.92533874511719        5.8638000488281250       0.50000000000000000     
 Dy   163.92916870117188        5.9388999938964844       0.50000000000000000     
 Ho   164.93032836914062        6.0215001106262207       0.50000000000000000     
 Er   165.93029785156250        6.1076998710632324       0.50000000000000000     
 Tm   168.93421936035156        6.1842999458312988       0.50000000000000000     
 Yb   173.93885803222656        6.2541999816894531       0.50000000000000000     
 Lu   174.94076538085938        5.4258999824523926       0.50000000000000000     
 Hf   179.94654846191406        6.8250999450683594        0.0000000000000000     
 Ta   180.94799804687500        7.5496001243591309       0.32199999690055847     
 W    183.95092773437500        7.8639998435974121       0.81499999761581421     
 Re   186.95574951171875        7.8334999084472656       0.15000000596046448     
 Os   191.96148681640625        8.4381999969482422        1.0778000354766846     
 Ir   192.96292114257812        8.9670000076293945        1.5643600225448608     
 Pt   194.96479797363281        8.9588003158569336        2.1250998973846436     
 Au   196.96656799316406        9.2255001068115234        2.3086099624633789     
 Hg   201.97064208984375        10.437500000000000        0.0000000000000000     
 Tl   204.97442626953125        6.1082000732421875       0.37700000405311584     
 Pb   207.97665405273438        7.4166998863220215       0.36399999260902405     
 Bi   208.98039245605469        7.2855000495910645       0.94236302375793457     
 Po   208.98243713378906        8.4139995574951172        1.8999999761581421     
 At   209.98715209960938        0.0000000000000000        2.7999999523162842     
 Rn   222.01757812500000        10.748499870300293        0.0000000000000000     
 Fr   223.01972961425781        4.0727000236511230        0.0000000000000000     
 Ra   226.02540588378906        5.2783999443054199        0.0000000000000000     
 Ac   227.02775573730469        5.1700000762939453        0.0000000000000000     
