  #Symbol     mass(amu)     IP(eV)     EA(eV)
 Th   232.03805541992188        6.3067002296447754        0.0000000000000000     
 Pa   231.03588867187500        5.8899998664855957        0.0000000000000000     
 U    238.05078125000000        6.1940999031066895        0.0000000000000000     
 Np   237.04817199707031        6.2656998634338379        0.0000000000000000     
 Pu   244.06420898437500        6.0260000228881836        0.0000000000000000     
 Am   243.06138610839844        5.9738001823425293        0.0000000000000000     
 Cm   247.07035827636719        5.9913997650146484        0.0000000000000000     
 Bk   247.07031250000000        6.1978998184204102        0.0000000000000000     
 Cf   251.07958984375000        6.2817001342773438        0.0000000000000000     
 Es   252.08297729492188        6.4200000762939453        0.0000000000000000     
 Fm   257.09509277343750        6.5000000000000000        0.0000000000000000     
 Md   258.09841918945312        6.5799999237060547        0.0000000000000000     
 No   259.10104370117188        6.6500000953674316        0.0000000000000000     
 Lr   262.10961914062500        4.9000000953674316        0.0000000000000000     
