Iter=       12000
         140
   12.115171999999999        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        12.115171999999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        12.115171999999999     
C       11.929863451571         10.255115157975         10.560888399605    
N       11.690215444735         11.681151884543         10.388414891840    
H      0.82692408073018         10.045855547413         10.669533085903    
H       11.396827543645         9.7875080488504         11.387541318552    
H       11.622212688269         9.6851511589529         9.7280134814174    
O      0.47183327591945        0.22633827695192         9.9979250584900    
O       10.575750410462        0.47185706230976E-01     10.744045289768    
C       9.9435888796591         4.2791201011869         6.0346745909932    
N       10.627450522708         5.3097837970221         5.2648418940813    
H       10.474646231382         4.2140906648882         7.0046340843598    
H       8.9630593525495         4.6732651477262         6.1689790367443    
H       9.8773261462862         3.4139722691933         5.3919388748052    
O       11.373658160534         4.9685388086643         4.3774062236580    
O       10.683734013377         6.4511478780811         5.6101804414996    
C      0.42467564644334         6.4170277323906         8.1653670112673    
N       12.008900708787         7.7321077000951         8.2193075279723    
H      0.93563573651737         6.0751375691397         9.0843109020774    
H       11.730476323044         5.6975811449740         8.0428693034235    
H       1.0715948429475         6.4140638248257         7.2711235305632    
O       11.184115335753         7.9936109291395         9.0555261473159    
O      0.32488202155962         8.5561450980657         7.4859550742313    
C       5.3281025640363         2.9530224043769         7.3161160927709    
N       5.0019197769065         3.3470607753072         5.9363934389522    
H       5.3614638663970         1.8968569917358         7.4382996091289    
H       6.3061745483149         3.3322373892057         7.5308232278823    
H       4.6071312702960         3.3481547220583         7.9861028239992    
O       4.3861928679887         4.3907589495950         5.7634688577537    
O       5.5164757007148         2.7417827211231         5.0711708959529    
C       6.9680438245820         4.5789421493437         1.7935037169671    
N       7.5856900220434         5.1915873253553         2.9859017017378    
H       7.6761615398162         3.7874388700254         1.3246457535295    
H       6.0371373843989         4.0694361596754         2.1453587940260    
H       6.7104355918082         5.3363425157975         1.1061393638637    
O       8.1490040935675         4.5077360692573         3.7572382125560    
O       7.5090427220104         6.3727898514449         3.0939511832806    
C       3.9175607552029         7.6509215657394        0.64779533904350    
N       2.6102213549091         8.1538982654171        0.27647513064508    
H       3.7665867275828         6.6579702440714         1.1505429596911    
H       4.6085723838182         7.5950617816574         11.938853009058    
H       4.3928585221893         8.1732239313181         1.5130635541652    
O       2.6455982471113         8.9387092565691         11.505447083761    
O       1.6027181537193         7.7235559539778        0.76199315376588    
C       2.7036861827280         3.0872987129105         10.931378458666    
N       3.3134869028748         4.4072897367454         10.732248401158    
H       2.9635475208810         2.3953527918993         10.178121985509    
H       3.1878254685955         2.6692528635560         11.851603942626    
H       1.6615803350506         3.1792430682882         11.028327939675    
O       4.2011592686415         4.4690672612951         9.9309651958259    
O       2.7847430015143         5.2682661028078         11.325006832436    
C       5.0047486478602         11.750482317322         11.912276396392    
N       5.4425132304120        0.56371006530760        0.81353017446848    
H       5.4784438736903         11.973919286031         10.923910445826    
H       5.2058739973432         10.710622510781        0.10186301958005E-01
H       3.8834253736713         11.809150213781         11.754263284855    
O       6.1623838320346        0.21673538800703         1.7277965027215    
O       5.0889365074551         1.6890410237254        0.65284964496662    
C       8.5159596615642         1.2279772904291         3.3094718573605    
N       9.7788980493771         1.0432652670977         4.0546969181107    
H       7.8579954700181         1.7740840773105         3.9423313533665    
H       8.6908190270897         1.8294128503634         2.4331238039612    
H       8.0598727404461        0.29055458399864         3.0383401314473    
O       9.7083441926011         1.0259233628279         5.2534712132162    
O       10.819595945608        0.91220172594509         3.3652110428573    
C       12.016374951353         10.955616812832         5.6743580219937    
N       10.841688650725         10.950103570112         6.5329851672942    
H       12.082033954559         10.080500774391         5.0810522252364    
H       11.942399923964         11.683062073902         4.8615826147469    
H      0.76713589167234         11.112358791060         6.3239510868520    
O       10.977928155241         11.450183940575         7.6339216392733    
O       9.8911838614965         10.405458626897         6.1561725475212    
C       1.2897564093495         7.9762282008329         4.6820308401274    
N       2.2660345360799         8.3158421714038         5.6593679383920    
H       1.8144797013054         7.5356587526564         3.8428225951751    
H      0.45346698730010         7.3653907194065         4.9660945091406    
H      0.88512009428389         8.9153883588589         4.3111737783222    
O       2.6375982638887         7.4215071863900         6.3905194399613    
O       2.6916003648015         9.4648220723318         5.7199397211410    
C       8.5153111406663         8.0602598087782         11.211045399231    
N       7.7573941092935         6.8360014984125         11.515216742700    
H       9.1828814115352         7.7773097451056         10.419764632306    
H       7.8248804692294         8.8114522527636         10.875108585033    
H       9.0102837317817         8.4250945838445         12.074184329364    
O       8.4758379518236         5.8877492042784         11.921578302059    
O       6.5646342507504         6.8350578827403         11.446776346415    
C       2.0766641823255         4.3960538049870         3.5239939970435    
N       3.1491069549492         5.1008287177255         2.8391380524376    
