        1032
  21.83000   0.00000   0.00000
   0.00000  21.83000   0.00000
   0.00000   0.00000  21.83000
 O  10.72700  10.73400  10.91500
 H  10.30900  11.59500  10.91500
 H  11.70800  10.41500  10.91500
 O   2.25000   2.75000   9.96100
 H   2.60000   2.58000  10.88100
 H   1.37000   2.30000   9.84100
 O   5.69000  12.75100  11.65100
 H   4.76000  12.68100  11.28100
 H   5.80000  13.64100  12.09100
 O  15.55100  15.11100   7.03000
 H  14.98100  14.95100   7.84000
 H  14.96100  15.21100   6.23000
 O  17.43100   6.18000   8.56000
 H  17.76100   7.12000   8.56000
 H  17.94100   5.64000   9.22000
 O  11.35100   7.03000   7.17000
 H  11.92100   7.81000   6.92000
 H  10.75100   7.29000   7.93000
 O  17.55100   6.07000   2.31000
 H  17.43100   5.94000   1.32000
 H  17.25100   5.26000   2.80000
 O   7.68000  11.44100  10.23100
 H   6.90000  11.61100  10.83100
 H   8.02000  12.31100   9.87100
 O   8.50000   7.98000  18.23100
 H   8.46000   8.74000  18.88100
 H   8.72000   8.34000  17.32100
 O   6.85000  10.12100   6.65000
 H   7.54000   9.96100   7.35000
 H   6.12000  10.69100   7.03000
 O   6.86000  11.61100  18.03100
 H   7.46000  12.40100  18.17100
 H   6.00000  11.92100  17.62100
 O   3.35000  14.35100  10.61100
 H   2.57000  14.04100  10.08100
 H   3.93000  14.93100  10.04100
 O  14.60100  15.05100  13.39100
 H  14.84100  15.99100  13.65100
 H  14.44100  14.51100  14.21100
 O   4.38000   3.92000  14.99100
 H   5.20000   3.36000  15.08100
 H   3.57000   3.34000  15.03100
 O   2.31000  17.13100   4.83000
 H   2.65000  17.90100   5.37000
 H   2.75000  17.13100   3.93000
 O  11.27100  13.41100  16.90100
 H  11.74100  13.41100  17.78100
 H  10.79100  12.54100  16.79100
 O   2.30000  14.34100   5.38000
 H   2.04000  15.30100   5.38000
 H   1.59000  13.80100   5.83000
 O   2.40000  10.91100   8.86000
 H   2.54000  10.07100   9.38000
 H   1.85000  11.55100   9.41000
