Noelem=  4
E basis Nelec         Es        Ep        Ed        Ef      Mass  HubbardU      Wss       Wpp       Wdd       Wff
C    sp   4.0 -13.719900 -5.254100  0.000000  0.000000 12.010000 14.240811  0.00000 -0.618100  0.000000  0.000000 
H     s   1.0  -6.483500  0.000000  0.000000  0.000000  1.007900 12.054683 -2.23400  0.000000  0.000000  0.000000 
N    sp   5.0 -18.556500 -7.062500  0.000000  0.000000 14.006700 17.372900  0.00000 -0.693400  0.000000  0.000000 
O    sp   6.0 -23.937700 -9.003500  0.000000  0.000000 15.999400 11.876141  0.00000 -0.757650  0.000000  0.000000 
