         224
   13.0510000000000       0.000000000000000E+000  0.000000000000000E+000
  6.758152128754710E-016   11.0369000000000       0.000000000000000E+000
  -3.23037155834168       1.099633112341100E-015   14.3693661514716     
C       4.4085573349569         6.7632305649847         3.9992004310183    
C       7.0272571358027         4.2736694543678         3.1854826028708    
C       2.9569141359343         1.2447802638267         6.7778239421694    
C      0.33821428068729         9.7921195154249         7.5915421706290    
C       5.9462632379025         6.2445468210824         2.0510062749607    
C       1.8759201078267         10.310803071845         5.6433478378766    
C       5.4895506141753         4.7923530248112         5.1336766817110    
C       1.4192081024923        0.72609685540588         8.7260182826231    
H       3.6508010493752         6.4851698477520         3.2723751192045    
H     -0.41954206453248         10.070180401664         6.8647170416247    
H       7.7850132673981         4.5517303451996         3.9123080051849    
H       3.7146702261539        0.96671878547219         7.5046490702355    
H       4.1317048510793         7.7335976907274         4.3886171099877    
H       7.3041100690481         3.3033023958181         2.7960659545420    
H       3.2337671022558         2.2151475337585         6.3884078102493    
H      0.61361661939416E-01     8.8217519666302         7.9809577329305    
H       5.0249202623521         5.7846068118170         1.7141202776330    
H      0.95457712949581         10.770743240890         5.3064620812026    
H       6.4108932194680         5.2522932920250         5.4705629176336    
H       2.3405508067637        0.26615679354818         9.0629046908724    
H       6.2286055095035         6.9690372860503         1.3032350316911    
H       2.1582624557176         9.5863124550117         4.8955767737420    
H       5.2072083813830         4.0678626069962         5.8814479693552    
H       1.1368662883585         1.4505880325580         9.4737889772068    
N       5.6726076758020         6.8652002353671         3.3283772781996    
N       1.6022645932930         9.6901498882191         6.9207189248298    
N       5.7632068162600         4.1716995712589         3.8563058433795    
N       1.6928639826982         1.3467499885508         7.4486473129334    
N       4.8561751252234         3.2854087698190         3.3670171517766    
N       6.5796395046899         7.7514911584787         3.8176658122690    
N      0.78583227669552         2.2330407622257         6.9593587913059    
N       2.5092961747469         8.8038587564473         7.4100074618784    
N       4.4581496421582         5.7938362776769         5.0704593219119    
N       6.9776644121955         5.2430635822393         2.1142235605960    
N       2.9073213214773        0.27538629471635         5.7065648873456    
N      0.38780695460983         10.761513507277         8.6628012434680    
N       3.2729899154735         5.5335983349132         5.6957653776133    
N       8.1628242452180         5.5033016869788         1.4889175820581    
N       4.0924812689410        0.15147943254422E-01     5.0812593576415    
N     -0.79735284761650         11.021751792861         9.2881069145660    
O       3.8499782279559         3.0914490082231         4.0359882012673    
O       3.5154933222882         8.6098990793790         6.7410367342842    
O       7.5858362189002         7.9454510240796         3.1486945356528    
O     -0.22036489041967         2.4269999894986         7.6283295563388    
O       3.2768170965348         4.7304594112208         6.6188970400072    
O       4.0886539822493         10.248909162527         4.1581276228817    
O       8.1589969335257         6.3064405895087        0.56578592394736    
O     -0.79352531073242        0.78799089563222         10.211238366326    
O       5.0927567335923         2.7895823436979         2.2746872809789    
O       6.3430581593541         8.2473175729387         4.9099957606010    
O       1.0224139995810         2.7288675934197         5.8670291479360    
O       2.2727143668364         8.3080323701429         8.5023373105653    
O       2.3029916973054         6.1749162298637         5.3121241804096    
O       9.1328226549535         4.8619840221553         1.8725587726383    
O       5.0624797799800        0.65646523316803         5.4649009237618    
O      -1.7673511990686         10.380433866444         8.9044660365928    
C       2.7933715558392         6.7632305642425         11.183883528712    
C       5.4120713561612         4.2736694568524         10.370165697494    
C       1.3417283562378         1.2447802638311         13.962507042093    
C       1.9534000593060         9.7921195154371        0.40685911911233    
C       4.3310774575948         6.2445468222776         9.2356893629024    
C      0.26073432835930         10.310803071768         12.828030937665    
C       3.8743648345271         4.7923530240610         12.318359780087    
C       3.0343938813473        0.72609685532559         1.5413352309342    
H       2.0356152685269         6.4851698475372         10.457058219024    
H      -2.0347278443525         10.070180401646         14.049400141640    
H       6.1698274866043         4.5517303475275         11.096991101782    
H       5.3298560046301        0.96671878544705        0.31996601876429    
H       2.5165190720814         7.7335976900643         11.573300209041    
H       5.6889242894082         3.3033023963135         9.9807490542255    
H       1.6185813223357         2.2151475338009         13.573090910218    
H       1.6765474403848         8.8217519666865        0.79627468147887    
H       3.4097344829481         5.7846068134463         8.8988033606366    
H     -0.66060864987657         10.770743240824         12.491145181003    
H       4.7957074394081         5.2522932916324         12.655246017113    
H       3.9557365857415        0.26615679350753         1.8782216391742    
H       4.6134197290701         6.9690372856635         8.4879181165230    
H      0.54307667661022         9.5863124549467         12.080259873697    
H       3.5920226015395         4.0678626068959         13.066131068661    
H       2.7520520676699         1.4505880325477         2.2891059257200    
N       4.0574218956037         6.8652002340446         10.513060371196    
N     -0.12921186359215E-01     9.6901498881536         14.105402024728    
N       4.1480210371254         4.1716995714029         11.040988940085    
N       3.3080497612647         1.3467499884519        0.26396426125773    
N       3.2409893454950         3.2854087697691         10.551700246380    
N       4.9644537247067         7.7514911572624         11.002348909921    
N     -0.82935350264406         2.2330407622496         14.144041891255    
N       4.1244819535427         8.8038587566495        0.22532441027059    
